Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
International Journal of Ecology,Other (describe in adjacent column),"""We have partnered with a number of leading author services providers to offer our authors an exclusive 10% discount on a wide range of manuscript preparation and post-publication services. This discount applies to various language editing, translation, and research communication services. Learn more about author services. You can make use of a free artificial intelligence (AI)-based language editing tool, Writefull, at the point of submission. Writefull will scan your manuscript and make suggestions to help improve the quality of your writing. The tool applies machine learning, trained on millions of published scientific articles, and suggests improvements to grammar, spelling, and academic language.""",7,Partial waivers available,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Assumed_single,No,Unclear,NA,,,,,,,,,NA,NA,NA,NA,English,United Kingdom,HINDAWI LTD,HINDAWI LTD,Minor,NA,Not_society,Minor_Not_society,Not in JCR,https://www.hindawi.com/journals/ijecol/,,"No Editor-in-chief, just a panel of ""academic editors."" There is a journal in JCR called International Journal of Ecology and Development, but it appears to be different. This journal was not in the JCR database. I used the location given for Hindawi on the website for the location. ",Tier 1,,"Original list (publisher, personal knowledge)"
International Journal of Ecosystems and Ecology Science-IJEES,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Potential contributors whose first language is not English are urged to have their manuscript competently edited prior to submission."" Journal does not mention any paid-for editing however.",6,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Assumed_single,No,Europe,United States,,,,,,,,,NA,NA,NA,0.05,English,ALBANIA,HEALTH & ENVIRONMENT ASSOC,HEALTH & ENVIRONMENT ASSOC,Minor,NA,Not_society,Minor_Not_society,2020,https://www.ijees.net/index.php,,First year in JCR is 2020 so no impact factor is available,Tier 1,,JCR
International Journal of Environmental Research and Public Health,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
""""Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Partial waivers available,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,Yes,Europe,United States,,,,,,,,,3.39,Mid,2.819,0.87,English,SWITZERLAND,MDPI,MDPI,Minor,NA,Not_society,Minor_Not_society,2011,https://www.mdpi.com/journal/ijerph,,Journal requires that authors suggest reviewers from institutions that are different from their own but do not specify if the reviewers should be from different institutions from each other. Journal employs an optional open review policy whereby authors can opt-into having reviews published with articles.,Tier 1,,JCR
International Journal of Genomics,Other (describe in adjacent column),"""We have partnered with a number of leading author services providers to offer our authors an exclusive 10% discount on a wide range of manuscript preparation and post-publication services. This discount applies to various language editing, translation, and research communication services. Learn more about author services. You can make use of a free artificial intelligence (AI)-based language editing tool, Writefull, at the point of submission. Writefull will scan your manuscript and make suggestions to help improve the quality of your writing. The tool applies machine learning, trained on millions of published scientific articles, and suggests improvements to grammar, spelling, and academic language.""",7,Partial waivers available,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Assumed_single,No,Unclear,Canada,,,,,,,,,2.326,Low,2.29,0.46,English,United States,HINDAWI LTD,HINDAWI LTD,Minor,NA,Not_society,Minor_Not_society,2013,https://www.hindawi.com/journals/ijg/,,No journal specific contact information or headquarters listed to determine continent. All info goes to Hindawi publisher.,Tier 1,,JCR
International Journal of Global Warming,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""All articles must be written in English, using UK spelling and terminology. The text and English language in new and revised articles must be checked, edited and corrected by the authors, preferably with the help of a native English speaker.""",6,Journal doesn't mention language editing,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No,No,Double_required,No,Unclear,Canada,,,,,,,,,1.086,Low,0.882,0.19,English,United Kingdom,INDERSCIENCE ENTERPRISES LTD,INDERSCIENCE ENTERPRISES LTD,Minor,NA,Not_society,Minor_Not_society,2011,https://www.inderscience.com/jhome.php?jcode=ijgw,,No journal specific contact information or headquarters listed to determine continent on the website. All location information is specific to editors or publisher.,Tier 1,,JCR
International Journal of Plant Sciences,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,Canada,,,,,,,,,1.785,Low,1.646,0.49,English,United States,UNIV CHICAGO PRESS,UNIVERSITY OF CHICAGO PRESS,Minor,NA,Not_society,Minor_Not_society,1997,https://www.journals.uchicago.edu/journal/ijps,,,Tier 3,,"Original list (publisher, personal knowledge)"
International Journal of Systematic and Evolutionary Microbiology,Offers editing but doesn't strongly suggest or recommend that people use it,"""You may wish to have your article edited before you submit it for peer review, or during revision. This is not compulsory but it may help Editors and reviewers to fully understand your article. Many language-editing services are available, but we have partnered with Editage to provide publication-focused editing services to our authors at a 15% discount. To take advantage of this offer visit our Editage page, or if you’re an existing Editage customer, please use the code MICSOC10. Please note that language editing does not guarantee that your article will be sent out for peer review or accepted for publication.""",4,Partial waivers available,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Assumed_single,No,Europe,Spain,,,,,,,,,2.747,Low,1.587,0.67,English,United Kingdom,MICROBIOLOGY SOC,MICROBIOLOGY SOC,Minor,Microbiology Society,Society,Minor_Society,2000,https://www.microbiologyresearch.org/content/journal/ijsem,,,Tier 3,,"Original list (publisher, personal knowledge)"
INTERNATIONAL REVIEW OF HYDROBIOLOGY,Offers editing but doesn't strongly suggest or recommend that people use it,"""Authors for whom English is a second language may choose to have their manuscript professionally edited before submission to improve the English. A list of independent suppliers of editing services can be found at https://wileyeditingservices.com/en/. All services are paid for and arranged by the author, and use of one of these services does not guarantee acceptance or preference for publication.""",4,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Germany,Germany,Brazil,Germany,,,,,,2.16,Low,2.08,0.64,English,Germany,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,1998,https://onlinelibrary.wiley.com/journal/15222632,,,Tier 1,,JCR
INVERTEBRATE BIOLOGY,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,Canada,,,,,,,,,1.25,Low,1.172,0.63,English,United States,WILEY,WILEY,Major,American Microscopical Society,Society,Major_Society,1997,https://onlinelibrary.wiley.com/journal/17447410,,,Tier 1,Invertebrate focused but has a broad range of taxa featured from arthropods to mullusks ,JCR
INVERTEBRATE REPRODUCTION & DEVELOPMENT,Offers editing but doesn't strongly suggest or recommend that people use it,"""To help you improve your manuscript and prepare it for submission, Taylor & Francis provides a range of editing services. Choose from options such as English Language Editing, which will ensure that your article is free of spelling and grammar errors, Translation, and Artwork Preparation.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Canada,,,,,,,,,0.952,Low,0.871,0.37,Multi-Language,United Kingdom,TAYLOR & FRANCIS LTD,TAYLOR AND FRANCIS,Major,International Society of Invertebrate Reproduction and Development,Society,Major_Society,1997,https://www.tandfonline.com/journals/tinv20,,,Tier 1,Invertebrate focused but has a broad range of taxa featured from arthropods to mullusks,JCR
INVERTEBRATE SYSTEMATICS,No mention of language editing in author guidelines or doesn't have author guidelines,"""The work should be presented clearly and concisely in English.""",1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Oceania,United States,,,,,,,,,2.583,Low,2.365,1,English,AUSTRALIA,CSIRO PUBLISHING,CSIRO PUBLISHING,Minor,NA,Not_society,Minor_Not_society,2002,https://www.publish.csiro.au/is,,The Csiro Publishing journals all have an inclusive language section,Tier 1,Invertebrate focused but has a broad range of taxa featured from arthropods to cnidarians,JCR
iScience,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Unclear,United States,United Kingdom,,,,,,,,5.458,Mid,5.351,1.02,English,United States,CELL PRESS,ELSEVIER,Major,NA,Not_society,Major_Not_society,2019,https://www.cell.com/iscience/home,,"Has required ""Inclusion and diversity statement"" for the study",Tier 2,,"Original list (publisher, personal knowledge)"
ISME Journal,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Unclear,Canada,Austria,Canada,,,,,,,10.302,High,9.797,2.82,English,United Kingdom,SPRINGERNATURE,SPRINGER,Major,NA,Not_society,Major_Not_society,2007,https://www.nature.com/ismej/,,,Tier 3,,"Original list (publisher, personal knowledge)"
Israel Journal of Ecology and Evolution,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts should be written in English; spelling should be consistent throughout.""",1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,Israel,,,,,,,,,0.559,Low,0.529,0.1,English,NETHERLANDS,BRILL,BRILL,Minor,NA,Not_society,Minor_Not_society,1997,https://www.tandfonline.com/toc/tiee20/current,https://brill.com/view/journals/ijee/ijee-overview.xml,"The journal website says, ""The journal was initially called Israel Journal of Zoology (1963 - 2005), which was changed in 2016 to Israel Journal of Ecology and Evolution and published by Brill from 2017 onwards."" It was pubilshed by LASER PAGES PUBL LTD, then Taylor and Francis, then Brill according to JCR ",Tier 1,,"Original list (publisher, personal knowledge)"
